distance,transect_no,position,plant_number,plant_species,wet,conductivity
222,5,2.3,NA,Canada goldenrod,2.8,1
222,5,4.5,NA,Canada goldenrod,27.9,72
222,5,6.5,NA,Canada goldenrod,26.3,125
222,5,8.4,NA,Canada goldenrod,18.5,87
222,5,12,NA,Canada goldenrod,22.5,81
222,5,16.5,NA,Canada goldenrod,27.2,122
222,5,18.7,NA,Canada goldenrod,16.7,89
372,8,2.7,NA,Canada goldenrod,41.4,111
372,8,5.8,NA,Canada goldenrod,44.1,81
372,8,8.9,NA,Canada goldenrod,23.3,123
372,8,10.5,NA,Canada goldenrod,12.4,121
372,8,12,NA,Canada goldenrod,20.1,87
372,8,17.5,NA,Canada goldenrod,19.8,91
143,3,3,5,Canada goldenrod,38.2,212
143,3,6,9,Canada goldenrod,46.4,343
143,3,11,15,Canada goldenrod,30.4,287
143,3,12,18,Canada goldenrod,31.3,108
143,3,13,20,Canada goldenrod,12.8,93
316,7,1,34,Canada goldenrod,31.2,160
316,7,2,35,Canada goldenrod,24.1,101
316,7,3,36,Canada goldenrod,22.3,113
316,7,4,38,Canada goldenrod,31,154
316,7,5,41,Canada goldenrod,28.4,72
259,6,NA,NA,Canada goldenrod,11.4,92
444,9,0.3,NA,Canada goldenrod,33.9,172
444,9,1.3,NA,Canada goldenrod,43.5,199
444,9,4.6,NA,Canada goldenrod,47.1,192
444,9,10.7,NA,Canada goldenrod,41.4,169
444,9,11.8,NA,Canada goldenrod,37,85
444,9,14,NA,Canada goldenrod,38.6,108
444,9,16,NA,Canada goldenrod,30.3,93
444,9,18,NA,Canada goldenrod,29.3,80
444,9,20,NA,Canada goldenrod,22.6,90
259,6,NA,NA,Canada goldenrod,21.2,109
70,2,NA,4,Canada goldenrod,33.8,174
259,6,NA,NA,Canada goldenrod,15,98
259,6,NA,NA,Canada goldenrod,18.5,97
143,3,14,24,grey goldenrod,24.9,77
143,3,15,26,grey goldenrod,30.4,86
143,3,16,29,grey goldenrod,22,84
143,3,17,31,grey goldenrod,23.9,90
143,3,20,32,grey goldenrod,23.7,82
316,7,7,43,grey goldenrod,24.7,100
316,7,8,47,grey goldenrod,34.5,77
316,7,9,49,grey goldenrod,26.8,93
316,7,10,51,grey goldenrod,32,86
316,7,11,52,grey goldenrod,28.9,75
316,7,12,55,grey goldenrod,16.2,186
316,7,14,57,grey goldenrod,15.2,101
316,7,15,58,grey goldenrod,15.3,83
316,7,16,59,grey goldenrod,20.7,101
316,7,17,60,grey goldenrod,24.9,106
259,6,NA,NA,grey goldenrod,16.2,98
70,2,NA,1,lance-leaved aster,33.9,148
70,2,NA,2,lance-leaved aster,27.7,144
259,6,NA,1,lance-leaved aster,27.8,666
259,6,NA,NA,lance-leaved aster,34,548
259,6,NA,NA,lance-leaved aster,25.1,86
259,6,NA,NA,lance-leaved aster,24.9,86
